Request Index,Request Time (Seconds),vendor1 API Available,vendor2 API Available,vendor3 API Available,vendor1 Is Down,vendor2 Is Down,vendor3 Is Down,vendor1 CTM Success Percent,vendor2 CTM Success Percent,vendor3 CTM Success Percent,vendor1 FTM Failure Percent,vendor2 FTM Failure Percent,vendor3 FTM Failure Percent,vendor1 Traffic Ratio,vendor2 Traffic Ratio,vendor3 Traffic Ratio,Vendors tried
85,97,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
86,99,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
87,99,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
88,100,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
89,100,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
90,100,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
91,100,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
92,102,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
93,102,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
94,103,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
95,103,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
96,105,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
97,106,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
98,107,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
99,107,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
100,108,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
101,110,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
102,114,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
103,115,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
104,115,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
105,117,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
106,117,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
107,118,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
108,118,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
109,118,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
110,121,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
111,121,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
112,121,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
113,123,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
114,124,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
115,129,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
116,132,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
117,132,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
118,133,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
119,136,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
120,136,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
121,137,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
122,137,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
123,138,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
124,143,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
125,144,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
126,145,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
127,145,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
128,145,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
129,146,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
130,149,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
131,151,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
132,154,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
133,155,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
134,157,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
135,162,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
136,162,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
137,163,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
138,163,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
139,167,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
140,167,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
141,171,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
142,176,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
143,176,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
144,177,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
145,177,False,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1|vendor2
146,180,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
147,180,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
148,182,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
149,186,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
150,186,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
151,188,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
152,188,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
153,188,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
154,189,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
155,193,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
156,193,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
157,196,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
158,196,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
159,202,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
160,202,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
161,202,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
162,204,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
163,206,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
164,206,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
165,207,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
166,208,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
167,209,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
168,209,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
169,213,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
170,214,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
171,214,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
172,215,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
173,217,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
174,218,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
175,226,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
176,227,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
177,227,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
178,228,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
179,230,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
180,231,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
181,232,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
182,233,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
183,234,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
184,236,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
185,236,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
186,237,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
187,238,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
188,239,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
189,247,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
190,257,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
191,301,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
192,302,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
193,302,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
194,303,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
195,303,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
196,303,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
197,303,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
198,303,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
199,303,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
200,304,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
201,304,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
202,304,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
203,307,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
204,307,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
205,308,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
206,309,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
207,309,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
208,311,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
209,312,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
210,313,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
211,314,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
212,316,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
213,318,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
214,319,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
215,321,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
216,322,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
217,324,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
218,325,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
219,326,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
220,327,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
221,328,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
222,330,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
223,332,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
224,334,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
225,334,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
226,335,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
227,335,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
228,336,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
229,338,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
230,338,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
231,338,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
232,339,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
233,340,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
234,342,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
235,342,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
236,343,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
237,344,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
238,344,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
239,348,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
240,350,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
241,350,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
242,351,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
